member_casual,start_time,ride_count
casual,0,32053
member,0,25582
casual,1,20813
member,1,15645
casual,2,12246
member,2,8736
casual,3,6763
member,3,5268
casual,4,4515
member,4,6097
casual,5,8707
member,5,26049
casual,6,23390
member,6,81660
casual,7,40346
member,7,151664
casual,8,55066
member,8,180585
casual,9,56190
member,9,120035
casual,10,72233
member,10,109540
casual,11,93437
member,11,129717
casual,12,109905
member,12,149403
casual,13,114531
member,13,147804
casual,14,121187
member,14,148800
casual,15,134839
member,15,183330
casual,16,153614
member,16,249039
casual,17,170534
member,17,297724
casual,18,148452
member,18,233303
casual,19,111916
member,19,165938
casual,20,81388
member,20,115161
casual,21,69348
member,21,88668
casual,22,61476
member,22,65505
casual,23,44808
member,23,41332